id,name,tm_number,image_url
"rs,-acu-&-rtg-interface,-im-manual","RS, ACU & RTG INTERFACE, IM MANUAL",TM 9-1430-2601-34-4,
"rs,-an_mpq-65a,-dam-support-data","RS, AN_MPQ-65A, DAM SUPPORT DATA",TM 9-1430-2601-10-2,
"rs,-an_mpq-65a,-im-manual","RS, AN_MPQ-65A, IM MANUAL",TM 9-1430-2601-34,
"rs,-an_mpq-65a,-manual","RS, AN_MPQ-65A, MANUAL",TM 9-1430-2601-10-1,
"rs,-an_mpq-65a,-vol.-1,-org.-maint.","RS, AN_MPQ-65A, VOL. 1, ORG. MAINT.",TM 9-1430-2601-20-1,
"rs,-an_mpq-65a,-vol.-2,-org.-maint.","RS, AN_MPQ-65A, VOL. 2, ORG. MAINT.",TM 9-1430-2601-20-2,
"rs,-an_mpq-65a,-vol.-3,-org.-maint.","RS, AN_MPQ-65A, VOL. 3, ORG. MAINT.",TM 9-1430-2601-20-3,
"rs,-comparator-front-end,-im-manual","RS, COMPARATOR FRONT END, IM MANUAL",TM 9-1430-2601-34-12,
"rs,-i-o-control-unit_sensitivity-timing-control,-im-manual","RS, I-O CONTROL UNIT_SENSITIVITY TIMING CONTROL, IM MANUAL",TM 9-1430-2601-34-8,
"rs,-iff-system,-im-manual","RS, IFF SYSTEM, IM MANUAL",TM 9-1430-2601-34-24,
"rs,-lens-front-end,-im-manual","RS, LENS FRONT END, IM MANUAL",TM 9-1430-2601-34-11,
"rs,-pulse-expansion,-im-manual","RS, PULSE EXPANSION, IM MANUAL",TM 9-1430-2601-34-10,
"rs,-rasg,-im-manual","RS, RASG, IM MANUAL",TM 9-1430-2601-34-5,
"rs,-rdp,-im-manual","RS, RDP, IM MANUAL",TM 9-1430-2601-34-28,
"rs,-receiver-waveform-generator,-im-manual","RS, RECEIVER-WAVEFORM GENERATOR, IM MANUAL",TM 9-1430-2601-34-27,
"rs,-rtg-dual-traveling-wavetube-amp,-im-manual","RS, RTG DUAL TRAVELING WAVETUBE AMP, IM MANUAL",TM 9-1430-2601-34-7,
"rs,-rtg-exciter,-im-manual","RS, RTG EXCITER, IM MANUAL",TM 9-1430-2601-34-6,
"rs,-search-track-if-processor,-im-manual","RS, SEARCH-TRACK IF PROCESSOR, IM MANUAL",TM 9-1430-2601-34-13,
"rs,-sidelobe-canceller,-im-manual","RS, SIDELOBE CANCELLER, IM MANUAL",TM 9-1430-2601-34-14,
"rs,-waveform-generator,-im-manual","RS, WAVEFORM GENERATOR, IM MANUAL",TM 9-1430-2601-34-9,
rt-1523-sincgars,RT-1523 SINCGARS,TB 11-5820-890-30-5 (RT-1523 SINCGARS) 2008.pdf,
"rwciu,-im-manual","RWCIU, IM MANUAL",TM 9-1425-2600-34-6,
radio-sets,Radio Sets,Radio Sets.pdf,
s-83a_g-shelter,S-83A_G SHELTER,TM 11-5411-218-13,
sincgars,SINCGARS,TB 11-5820-890-30-5 (SINCGARS) 2008.pdf,
skl,SKL,TM 11-5810-410-13,
"sug-vol.-1,-im-manual","SUG VOL. 1, IM MANUAL",TM 9-1425-2602-34-1,
"sug-vol.-2,-im-manual","SUG VOL. 2, IM MANUAL",TM 9-1425-2602-34-2,
system-description,SYSTEM DESCRIPTION,TM 9-1425-2600-12,
status-monitor-handbook-pdb-8-15-may-2014,Status Monitor Handbook PDB-8 15 May,Status Monitor Handbook PDB-8 15 May 2014.pdf,
ta-1,TA-1,TM 11-5805-243-13,
tcs-system,TCS SYSTEM,TM 9-1430-606-12,
"wcc,-im-manual","WCC, IM MANUAL",TM 9-1425-2600-34-5,
